time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.050,3.129,3.129,1500,1512,982,neon,0,10,1,1.00,6
0.269,73.784,76.239,1500,1512,982,neon,0,10,1,1.00,6
0.478,84.660,108.113,1500,1512,982,neon,0,10,1,1.00,6
0.685,89.129,118.367,1500,1512,982,neon,0,10,1,1.00,6
0.893,93.381,111.848,1500,1512,982,neon,0,10,1,1.00,6
1.108,95.743,67.485,1500,1512,982,neon,0,10,1,1.00,6
1.308,100.721,125.099,1500,1512,982,neon,0,10,1,1.00,6
1.508,97.821,127.284,1500,1512,982,neon,0,10,1,1.00,6
1.717,94.260,74.567,1500,1512,982,neon,0,10,1,1.00,6
1.908,93.089,127.024,1500,1512,982,neon,0,10,1,1.00,6
2.117,98.661,116.665,1500,1512,982,neon,0,10,1,1.00,6
2.328,97.064,140.732,1500,1512,982,neon,0,10,1,1.00,6
2.534,89.169,74.894,1500,1512,982,neon,0,10,1,1.00,6
2.726,89.513,121.103,1500,1512,982,neon,0,10,1,1.00,6
2.934,92.840,122.703,1500,1512,982,neon,0,10,1,1.00,6
3.135,90.408,116.366,1500,1512,982,neon,0,10,1,1.00,6
3.335,89.908,114.114,1500,1512,982,neon,0,10,1,1.00,6
3.535,89.226,115.256,1500,1512,982,neon,0,10,1,1.00,6
3.735,89.105,113.529,1500,1512,982,neon,0,10,1,1.00,6
3.936,88.093,110.291,1500,1512,982,neon,0,10,1,1.00,6
4.136,87.584,109.266,1500,1512,982,neon,0,10,1,1.00,6
4.336,87.379,108.240,1500,1512,982,neon,0,10,1,1.00,6
4.536,87.903,111.027,1500,1512,982,neon,0,10,1,1.00,6
4.751,84.546,62.179,1500,1512,982,neon,0,10,1,1.00,6
4.951,85.542,61.941,1500,1512,982,neon,0,10,1,1.00,6
5.151,86.343,61.898,1500,1512,982,neon,0,10,1,1.00,6
5.359,90.292,119.259,1500,1512,982,neon,0,10,1,1.00,6
5.559,90.605,119.851,1500,1512,982,neon,0,10,1,1.00,6
5.776,88.074,59.442,1500,1512,982,neon,0,10,1,1.00,6
5.967,91.315,115.614,1500,1512,982,neon,0,10,1,1.00,6
6.176,91.688,56.687,1500,1512,982,neon,0,10,1,1.00,6
6.382,107.802,129.617,1500,1512,982,neon,0,10,1,1.00,6
6.588,128.249,129.246,1500,1512,982,neon,0,10,1,1.00,6
6.792,132.565,133.326,1500,1512,982,neon,0,10,1,1.00,6
6.994,136.562,135.810,1500,1512,982,neon,0,10,1,1.00,6
7.196,129.006,128.837,1500,1512,982,neon,0,10,1,1.00,6
7.399,131.444,127.699,1500,1512,982,neon,0,10,1,1.00,6
7.601,105.046,114.118,1500,1512,982,neon,0,10,1,1.00,6
7.800,97.002,61.233,1500,1512,982,neon,0,10,1,1.00,6
8.001,91.675,71.756,1500,1512,982,neon,0,10,1,1.00,6
8.204,91.179,51.667,1500,1512,982,neon,0,10,1,1.00,6
8.410,84.966,69.988,1500,1512,982,neon,0,10,1,1.00,6
8.610,93.993,117.396,1500,1512,982,neon,0,10,1,1.00,6
8.811,88.835,113.092,1500,1512,982,neon,0,10,1,1.00,6
9.021,87.356,90.070,1500,1512,982,neon,0,10,1,1.00,6
9.227,89.042,112.525,1500,1512,982,neon,0,10,1,1.00,6
9.427,87.768,109.085,1500,1512,982,neon,0,10,1,1.00,6
9.628,86.973,106.962,1500,1512,982,neon,0,10,1,1.00,6
9.827,87.301,110.657,1500,1512,982,neon,0,10,1,1.00,6
10.027,87.992,112.786,1500,1512,982,neon,0,10,1,1.00,6
10.227,88.888,113.816,1500,1512,982,neon,0,10,1,1.00,6
10.426,89.398,115.290,1500,1512,982,neon,0,10,1,1.00,6
10.636,92.008,115.562,1500,1512,982,neon,0,10,1,1.00,6
10.834,91.536,120.202,1500,1512,982,neon,0,10,1,1.00,6
11.051,88.098,60.104,1500,1512,982,neon,0,10,1,1.00,6
11.253,92.888,128.023,1500,1512,982,neon,0,10,1,1.00,6
11.450,92.686,123.726,1500,1512,982,neon,0,10,1,1.00,6
11.651,94.113,119.925,1500,1512,982,neon,0,10,1,1.00,6
11.859,92.363,115.610,1500,1512,982,neon,0,10,1,1.00,6
12.067,90.593,60.019,1500,1512,982,neon,0,10,1,1.00,6
12.267,86.622,63.868,1500,1512,982,neon,0,10,1,1.00,6
12.476,88.351,60.304,1500,1512,982,neon,0,10,1,1.00,6
12.676,87.619,60.437,1500,1512,982,neon,0,10,1,1.00,6
12.876,87.846,60.214,1500,1512,982,neon,0,10,1,1.00,6
13.076,87.942,60.631,1500,1512,982,neon,0,10,1,1.00,6
13.276,87.243,61.385,1500,1512,982,neon,0,10,1,1.00,6
13.476,87.961,60.398,1500,1512,982,neon,0,10,1,1.00,6
13.676,88.107,59.496,1500,1512,982,neon,0,10,1,1.00,6
13.869,97.728,119.546,1500,1512,982,neon,0,10,1,1.00,6
14.077,97.168,120.218,1500,1512,982,neon,0,10,1,1.00,6
14.293,88.412,59.373,1500,1512,982,neon,0,10,1,1.00,6
14.485,94.587,111.060,1500,1512,982,neon,0,10,1,1.00,6
14.697,97.965,120.764,1500,1512,982,neon,0,10,1,1.00,6
14.896,99.698,86.522,1500,1512,982,neon,0,10,1,1.00,6
15.097,95.883,110.127,1500,1512,982,neon,0,10,1,1.00,6
15.295,98.707,126.940,1500,1512,982,neon,0,10,1,1.00,6
15.501,85.108,71.749,1500,1512,982,neon,0,10,1,1.00,6
15.704,94.131,88.700,1500,1512,982,neon,0,10,1,1.00,6
15.909,92.402,122.332,1500,1512,982,neon,0,10,1,1.00,6
16.109,91.959,74.337,1500,1512,982,neon,0,10,1,1.00,6
16.312,95.171,125.332,1500,1512,982,neon,0,10,1,1.00,6
16.517,94.183,119.741,1500,1512,982,neon,0,10,1,1.00,6
16.726,87.757,70.502,1500,1512,982,neon,0,10,1,1.00,6
16.926,84.302,70.039,1500,1512,982,neon,0,10,1,1.00,6
17.126,87.140,60.720,1500,1512,982,neon,0,10,1,1.00,6
17.326,86.589,60.832,1500,1512,982,neon,0,10,1,1.00,6
17.526,86.200,61.135,1500,1512,982,neon,0,10,1,1.00,6
17.727,85.061,62.787,1500,1512,982,neon,0,10,1,1.00,6
