time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.050,3.122,3.122,1500,1512,982,ocean,0,10,1,1.00,6
0.253,71.602,78.037,1500,1512,982,ocean,0,10,1,1.00,6
0.461,88.768,111.280,1500,1512,982,ocean,0,10,1,1.00,6
0.660,87.937,113.516,1500,1512,982,ocean,0,10,1,1.00,6
0.876,88.173,58.355,1500,1512,982,ocean,0,10,1,1.00,6
1.075,91.985,63.709,1500,1512,982,ocean,0,10,1,1.00,6
1.275,112.303,121.822,1500,1512,982,ocean,0,10,1,1.00,6
1.475,104.772,120.397,1500,1512,982,ocean,0,10,1,1.00,6
1.675,110.457,115.483,1500,1512,982,ocean,0,10,1,1.00,6
1.875,113.174,61.136,1500,1512,982,ocean,0,10,1,1.00,6
2.076,101.912,118.063,1500,1512,982,ocean,0,10,1,1.00,6
2.284,95.251,83.800,1500,1512,982,ocean,0,10,1,1.00,6
2.480,98.443,43.714,1500,1512,982,ocean,0,10,1,1.00,6
2.689,101.602,115.448,1500,1512,982,ocean,0,10,1,1.00,6
2.897,103.420,121.267,1500,1512,982,ocean,0,10,1,1.00,6
3.106,91.427,60.630,1500,1512,982,ocean,0,10,1,1.00,6
3.314,90.513,117.927,1500,1512,982,ocean,0,10,1,1.00,6
3.514,89.317,115.298,1500,1512,982,ocean,0,10,1,1.00,6
3.715,88.947,112.483,1500,1512,982,ocean,0,10,1,1.00,6
3.915,88.183,109.976,1500,1512,982,ocean,0,10,1,1.00,6
4.115,87.692,109.269,1500,1512,982,ocean,0,10,1,1.00,6
4.315,87.689,109.658,1500,1512,982,ocean,0,10,1,1.00,6
4.515,87.113,107.327,1500,1512,982,ocean,0,10,1,1.00,6
4.715,87.284,109.957,1500,1512,982,ocean,0,10,1,1.00,6
4.915,88.656,112.518,1500,1512,982,ocean,0,10,1,1.00,6
5.114,89.613,117.864,1500,1512,982,ocean,0,10,1,1.00,6
5.314,90.704,119.929,1500,1512,982,ocean,0,10,1,1.00,6
5.530,87.750,60.065,1500,1512,982,ocean,0,10,1,1.00,6
5.730,88.019,60.120,1500,1512,982,ocean,0,10,1,1.00,6
5.935,94.371,80.420,1500,1512,982,ocean,0,10,1,1.00,6
6.138,102.074,126.295,1500,1512,982,ocean,0,10,1,1.00,6
6.347,108.330,122.671,1500,1512,982,ocean,0,10,1,1.00,6
6.555,100.128,82.002,1500,1512,982,ocean,0,10,1,1.00,6
6.759,107.301,120.341,1500,1512,982,ocean,0,10,1,1.00,6
6.962,100.500,89.706,1500,1512,982,ocean,0,10,1,1.00,6
7.167,110.269,115.997,1500,1512,982,ocean,0,10,1,1.00,6
7.371,117.243,88.577,1500,1512,982,ocean,0,10,1,1.00,6
7.576,117.004,112.940,1500,1512,982,ocean,0,10,1,1.00,6
7.784,105.457,117.648,1500,1512,982,ocean,0,10,1,1.00,6
7.978,105.050,143.536,1500,1512,982,ocean,0,10,1,1.00,6
8.184,98.267,73.185,1500,1512,982,ocean,0,10,1,1.00,6
8.384,99.223,129.581,1500,1512,982,ocean,0,10,1,1.00,6
8.593,93.048,69.604,1500,1512,982,ocean,0,10,1,1.00,6
8.801,91.546,119.446,1500,1512,982,ocean,0,10,1,1.00,6
9.002,89.876,118.016,1500,1512,982,ocean,0,10,1,1.00,6
9.202,89.466,116.120,1500,1512,982,ocean,0,10,1,1.00,6
9.402,88.803,113.507,1500,1512,982,ocean,0,10,1,1.00,6
9.602,89.473,115.538,1500,1512,982,ocean,0,10,1,1.00,6
9.818,86.099,61.587,1500,1512,982,ocean,0,10,1,1.00,6
10.018,86.406,61.281,1500,1512,982,ocean,0,10,1,1.00,6
10.218,86.509,60.828,1500,1512,982,ocean,0,10,1,1.00,6
10.418,86.879,60.795,1500,1512,982,ocean,0,10,1,1.00,6
10.626,90.672,119.254,1500,1512,982,ocean,0,10,1,1.00,6
10.826,91.066,121.659,1500,1512,982,ocean,0,10,1,1.00,6
11.034,92.561,121.178,1500,1512,982,ocean,0,10,1,1.00,6
11.235,92.618,119.149,1500,1512,982,ocean,0,10,1,1.00,6
11.446,98.748,130.154,1500,1512,982,ocean,0,10,1,1.00,6
11.651,98.494,60.518,1500,1512,982,ocean,0,10,1,1.00,6
11.859,105.057,122.940,1500,1512,982,ocean,0,10,1,1.00,6
12.068,101.812,116.854,1500,1512,982,ocean,0,10,1,1.00,6
12.271,98.571,88.252,1500,1512,982,ocean,0,10,1,1.00,6
12.476,95.243,115.145,1500,1512,982,ocean,0,10,1,1.00,6
12.685,84.007,74.097,1500,1512,982,ocean,0,10,1,1.00,6
12.885,82.066,70.818,1500,1512,982,ocean,0,10,1,1.00,6
13.093,87.825,117.911,1500,1512,982,ocean,0,10,1,1.00,6
13.293,89.581,119.082,1500,1512,982,ocean,0,10,1,1.00,6
13.493,90.090,117.369,1500,1512,982,ocean,0,10,1,1.00,6
13.693,90.425,118.095,1500,1512,982,ocean,0,10,1,1.00,6
13.894,89.801,108.870,1500,1512,982,ocean,0,10,1,1.00,6
14.102,91.370,111.389,1500,1512,982,ocean,0,10,1,1.00,6
14.301,91.371,119.248,1500,1512,982,ocean,0,10,1,1.00,6
14.504,101.547,129.814,1500,1512,982,ocean,0,10,1,1.00,6
14.701,99.161,118.963,1500,1512,982,ocean,0,10,1,1.00,6
14.909,95.096,72.153,1500,1512,982,ocean,0,10,1,1.00,6
15.114,97.169,117.233,1500,1512,982,ocean,0,10,1,1.00,6
15.318,95.280,60.745,1500,1512,982,ocean,0,10,1,1.00,6
15.513,97.308,72.684,1500,1512,982,ocean,0,10,1,1.00,6
15.722,95.385,60.382,1500,1512,982,ocean,0,10,1,1.00,6
15.929,95.846,88.775,1500,1512,982,ocean,0,10,1,1.00,6
16.126,98.069,117.895,1500,1512,982,ocean,0,10,1,1.00,6
16.334,100.646,121.626,1500,1512,982,ocean,0,10,1,1.00,6
16.530,102.004,80.408,1500,1512,982,ocean,0,10,1,1.00,6
16.735,92.045,75.845,1500,1512,982,ocean,0,10,1,1.00,6
16.935,92.607,118.953,1500,1512,982,ocean,0,10,1,1.00,6
17.135,88.089,119.666,1500,1512,982,ocean,0,10,1,1.00,6
17.335,89.905,117.488,1500,1512,982,ocean,0,10,1,1.00,6
17.535,90.269,117.622,1500,1512,982,ocean,0,10,1,1.00,6
17.736,89.511,110.042,1500,1512,982,ocean,0,10,1,1.00,6
17.936,87.907,107.311,1500,1512,982,ocean,0,10,1,1.00,6
18.136,87.621,109.140,1500,1512,982,ocean,0,10,1,1.00,6
18.336,87.577,109.308,1500,1512,982,ocean,0,10,1,1.00,6
18.536,87.695,111.263,1500,1512,982,ocean,0,10,1,1.00,6
18.735,88.464,113.787,1500,1512,982,ocean,0,10,1,1.00,6
18.935,89.673,117.531,1500,1512,982,ocean,0,10,1,1.00,6
19.151,87.267,60.025,1500,1512,982,ocean,0,10,1,1.00,6
19.351,87.861,60.421,1500,1512,982,ocean,0,10,1,1.00,6
19.554,91.403,129.290,1500,1512,982,ocean,0,10,1,1.00,6
19.759,91.299,60.604,1500,1512,982,ocean,0,10,1,1.00,6
19.959,98.554,120.483,1500,1512,982,ocean,0,10,1,1.00,6
20.168,97.976,117.934,1500,1512,982,ocean,0,10,1,1.00,6
20.376,105.438,118.479,1500,1512,982,ocean,0,10,1,1.00,6
20.576,117.553,122.113,1500,1512,982,ocean,0,10,1,1.00,6
20.779,103.089,89.743,1500,1512,982,ocean,0,10,1,1.00,6
20.988,98.501,80.043,1500,1512,982,ocean,0,10,1,1.00,6
21.192,99.104,78.472,1500,1512,982,ocean,0,10,1,1.00,6
21.384,99.032,120.080,1500,1512,982,ocean,0,10,1,1.00,6
21.593,98.127,122.224,1500,1512,982,ocean,0,10,1,1.00,6
21.801,103.526,67.895,1500,1512,982,ocean,0,10,1,1.00,6
22.001,103.673,67.831,1500,1512,982,ocean,0,10,1,1.00,6
22.210,95.777,116.870,1500,1512,982,ocean,0,10,1,1.00,6
22.426,92.502,62.118,1500,1512,982,ocean,0,10,1,1.00,6
22.626,88.453,60.520,1500,1512,982,ocean,0,10,1,1.00,6
22.826,87.267,60.767,1500,1512,982,ocean,0,10,1,1.00,6
23.027,86.688,60.938,1500,1512,982,ocean,0,10,1,1.00,6
23.227,86.594,61.648,1500,1512,982,ocean,0,10,1,1.00,6
23.427,85.825,61.522,1500,1512,982,ocean,0,10,1,1.00,6
23.627,85.076,63.159,1500,1512,982,ocean,0,10,1,1.00,6
23.827,84.856,63.954,1500,1512,982,ocean,0,10,1,1.00,6
24.027,85.395,62.358,1500,1512,982,ocean,0,10,1,1.00,6
24.227,85.491,62.006,1500,1512,982,ocean,0,10,1,1.00,6
24.427,85.475,63.243,1500,1512,982,ocean,0,10,1,1.00,6
24.627,86.053,61.276,1500,1512,982,ocean,0,10,1,1.00,6
24.835,87.209,61.058,1500,1512,982,ocean,0,10,1,1.00,6
25.029,89.169,92.816,1500,1512,982,ocean,0,10,1,1.00,6
25.226,88.943,121.495,1500,1512,982,ocean,0,10,1,1.00,6
25.426,90.608,115.199,1500,1512,982,ocean,0,10,1,1.00,6
25.635,93.678,60.003,1500,1512,982,ocean,0,10,1,1.00,6
25.839,103.407,82.649,1500,1512,982,ocean,0,10,1,1.00,6
26.043,97.847,116.892,1500,1512,982,ocean,0,10,1,1.00,6
26.246,90.210,84.092,1500,1512,982,ocean,0,10,1,1.00,6
26.453,103.214,139.448,1500,1512,982,ocean,0,10,1,1.00,6
26.651,99.836,60.260,1500,1512,982,ocean,0,10,1,1.00,6
26.859,104.965,63.382,1500,1512,982,ocean,0,10,1,1.00,6
27.062,93.127,88.953,1500,1512,982,ocean,0,10,1,1.00,6
27.268,92.791,114.993,1500,1512,982,ocean,0,10,1,1.00,6
27.476,98.521,122.562,1500,1512,982,ocean,0,10,1,1.00,6
27.676,99.670,79.162,1500,1512,982,ocean,0,10,1,1.00,6
27.872,98.405,79.603,1500,1512,982,ocean,0,10,1,1.00,6
28.068,101.956,124.150,1500,1512,982,ocean,0,10,1,1.00,6
28.268,89.119,111.419,1500,1512,982,ocean,0,10,1,1.00,6
28.477,90.809,59.356,1500,1512,982,ocean,0,10,1,1.00,6
28.677,88.560,60.194,1500,1512,982,ocean,0,10,1,1.00,6
28.885,91.326,119.451,1500,1512,982,ocean,0,10,1,1.00,6
29.085,90.365,117.452,1500,1512,982,ocean,0,10,1,1.00,6
29.285,90.135,115.445,1500,1512,982,ocean,0,10,1,1.00,6
29.485,89.590,116.576,1500,1512,982,ocean,0,10,1,1.00,6
29.685,89.911,117.469,1500,1512,982,ocean,0,10,1,1.00,6
