time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.222,75.279,127.191,1000,1280,720,neon,0,10,1,1.00,6
0.722,98.497,60.187,1000,1280,720,neon,0,10,1,1.00,6
1.222,92.632,116.886,1000,1280,720,neon,0,10,1,1.00,6
1.738,101.769,59.394,1000,1280,720,neon,0,10,1,1.00,6
2.239,96.063,124.141,1000,1280,720,neon,0,10,1,1.00,6
2.739,95.467,58.401,1000,1280,720,neon,0,10,1,1.00,6
3.239,95.035,131.018,1000,1280,720,neon,0,10,1,1.00,6
3.741,97.834,159.664,1000,1280,720,neon,0,10,1,1.00,6
4.255,100.133,119.906,1000,1280,720,neon,0,10,1,1.00,6
4.764,94.107,74.039,1000,1280,720,neon,0,10,1,1.00,6
5.255,103.352,112.806,1000,1280,720,neon,0,10,1,1.00,6
5.763,99.309,120.154,1000,1280,720,neon,0,10,1,1.00,6
6.264,99.350,118.496,1000,1280,720,neon,0,10,1,1.00,6
6.772,92.504,58.109,1000,1280,720,neon,0,10,1,1.00,6
7.272,92.273,123.842,1000,1280,720,neon,0,10,1,1.00,6
7.774,100.138,166.130,1000,1280,720,neon,0,10,1,1.00,6
8.281,101.975,115.250,1000,1280,720,neon,0,10,1,1.00,6
8.781,100.367,119.734,1000,1280,720,neon,0,10,1,1.00,6
9.297,95.193,59.191,1000,1280,720,neon,0,10,1,1.00,6
9.797,106.703,120.809,1000,1280,720,neon,0,10,1,1.00,6
10.305,94.597,58.858,1000,1280,720,neon,0,10,1,1.00,6
10.813,101.208,126.241,1000,1280,720,neon,0,10,1,1.00,6
11.322,97.467,120.441,1000,1280,720,neon,0,10,1,1.00,6
