time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync,threads,ssaa,render_frac,sym
0.224,79.569,68.563,1000,1280,720,ocean,0,10,1,1.00,6
0.726,104.117,89.963,1000,1280,720,ocean,0,10,1,1.00,6
1.232,101.028,118.172,1000,1280,720,ocean,0,10,1,1.00,6
1.723,104.348,115.654,1000,1280,720,ocean,0,10,1,1.00,6
2.232,101.432,117.745,1000,1280,720,ocean,0,10,1,1.00,6
2.740,99.840,124.757,1000,1280,720,ocean,0,10,1,1.00,6
3.233,102.651,171.134,1000,1280,720,ocean,0,10,1,1.00,6
3.740,94.135,60.054,1000,1280,720,ocean,0,10,1,1.00,6
4.248,102.325,121.961,1000,1280,720,ocean,0,10,1,1.00,6
4.756,99.234,127.334,1000,1280,720,ocean,0,10,1,1.00,6
5.265,104.773,119.253,1000,1280,720,ocean,0,10,1,1.00,6
5.765,99.581,118.497,1000,1280,720,ocean,0,10,1,1.00,6
6.273,96.429,114.993,1000,1280,720,ocean,0,10,1,1.00,6
6.782,96.486,60.129,1000,1280,720,ocean,0,10,1,1.00,6
7.284,103.564,96.801,1000,1280,720,ocean,0,10,1,1.00,6
7.790,99.881,118.015,1000,1280,720,ocean,0,10,1,1.00,6
8.298,98.230,131.209,1000,1280,720,ocean,0,10,1,1.00,6
8.799,96.383,121.231,1000,1280,720,ocean,0,10,1,1.00,6
9.299,93.711,60.452,1000,1280,720,ocean,0,10,1,1.00,6
9.790,97.405,119.264,1000,1280,720,ocean,0,10,1,1.00,6
10.298,101.618,58.872,1000,1280,720,ocean,0,10,1,1.00,6
10.806,103.258,130.360,1000,1280,720,ocean,0,10,1,1.00,6
11.298,110.066,177.262,1000,1280,720,ocean,0,10,1,1.00,6
