time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.201,3.201,1400,1512,982,neon,0
0.214,9.934,26.581,1400,1512,982,neon,0
0.418,15.821,19.238,1400,1512,982,neon,0
0.654,20.427,26.645,1400,1512,982,neon,0
0.879,23.367,27.605,1400,1512,982,neon,0
1.091,25.740,29.082,1400,1512,982,neon,0
1.294,27.592,30.791,1400,1512,982,neon,0
1.526,28.969,30.703,1400,1512,982,neon,0
1.760,29.403,28.369,1400,1512,982,neon,0
1.971,28.941,28.009,1400,1512,982,neon,0
2.174,29.273,30.163,1400,1512,982,neon,0
2.373,29.672,30.373,1400,1512,982,neon,0
2.604,30.000,30.095,1400,1512,982,neon,0
2.804,29.961,29.662,1400,1512,982,neon,0
3.008,29.711,29.242,1400,1512,982,neon,0
3.208,29.806,29.879,1400,1512,982,neon,0
3.408,29.925,30.174,1400,1512,982,neon,0
3.617,29.356,29.434,1400,1512,982,neon,0
3.823,29.340,29.738,1400,1512,982,neon,0
4.025,29.469,29.474,1400,1512,982,neon,0
4.231,29.302,29.306,1400,1512,982,neon,0
4.438,29.106,28.835,1400,1512,982,neon,0
4.644,29.141,28.953,1400,1512,982,neon,0
4.847,29.366,29.677,1400,1512,982,neon,0
5.051,29.431,29.977,1400,1512,982,neon,0
5.250,29.718,30.197,1400,1512,982,neon,0
5.483,29.919,29.801,1400,1512,982,neon,0
5.684,29.855,29.471,1400,1512,982,neon,0
5.887,29.804,30.858,1400,1512,982,neon,0
6.120,29.912,29.462,1400,1512,982,neon,0
6.352,30.105,29.049,1400,1512,982,neon,0
6.579,30.429,30.120,1400,1512,982,neon,0
6.802,30.983,31.925,1400,1512,982,neon,0
7.025,31.193,30.659,1400,1512,982,neon,0
7.246,31.460,31.971,1400,1512,982,neon,0
7.470,31.350,31.976,1400,1512,982,neon,0
7.693,31.351,31.173,1400,1512,982,neon,0
7.922,30.904,28.953,1400,1512,982,neon,0
8.152,30.645,28.833,1400,1512,982,neon,0
8.353,30.316,29.415,1400,1512,982,neon,0
8.555,30.028,30.497,1400,1512,982,neon,0
8.765,29.380,29.002,1400,1512,982,neon,0
8.968,29.387,28.862,1400,1512,982,neon,0
9.172,29.399,29.713,1400,1512,982,neon,0
9.376,29.415,29.489,1400,1512,982,neon,0
9.581,29.347,29.680,1400,1512,982,neon,0
9.791,28.955,28.366,1400,1512,982,neon,0
9.997,29.069,29.644,1400,1512,982,neon,0
10.201,29.243,29.454,1400,1512,982,neon,0
10.404,29.423,29.899,1400,1512,982,neon,0
10.606,29.515,29.717,1400,1512,982,neon,0
10.807,29.666,28.810,1400,1512,982,neon,0
11.008,29.823,30.825,1400,1512,982,neon,0
11.239,30.113,30.456,1400,1512,982,neon,0
11.467,30.415,30.657,1400,1512,982,neon,0
11.669,30.067,29.216,1400,1512,982,neon,0
