time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.183,3.183,1400,1512,982,ocean,0
0.217,9.765,27.129,1400,1512,982,ocean,0
0.423,15.448,17.717,1400,1512,982,ocean,0
0.659,20.224,26.765,1400,1512,982,ocean,0
0.875,23.864,29.216,1400,1512,982,ocean,0
1.103,27.486,31.240,1400,1512,982,ocean,0
1.326,29.577,31.760,1400,1512,982,ocean,0
1.549,30.514,31.069,1400,1512,982,ocean,0
1.772,30.969,31.874,1400,1512,982,ocean,0
1.996,31.148,31.693,1400,1512,982,ocean,0
2.218,31.294,31.950,1400,1512,982,ocean,0
2.442,31.281,30.594,1400,1512,982,ocean,0
2.666,31.267,30.583,1400,1512,982,ocean,0
2.891,31.144,30.666,1400,1512,982,ocean,0
3.117,31.017,30.689,1400,1512,982,ocean,0
3.344,30.908,29.940,1400,1512,982,ocean,0
3.574,30.736,30.903,1400,1512,982,ocean,0
3.802,30.700,30.681,1400,1512,982,ocean,0
4.002,30.375,30.353,1400,1512,982,ocean,0
4.232,30.405,30.563,1400,1512,982,ocean,0
4.464,30.301,30.489,1400,1512,982,ocean,0
4.695,30.245,29.768,1400,1512,982,ocean,0
4.925,30.334,29.963,1400,1512,982,ocean,0
5.155,30.459,30.461,1400,1512,982,ocean,0
5.381,30.686,30.976,1400,1512,982,ocean,0
5.607,30.839,30.979,1400,1512,982,ocean,0
5.833,30.954,31.337,1400,1512,982,ocean,0
6.056,31.164,32.123,1400,1512,982,ocean,0
6.278,31.365,31.256,1400,1512,982,ocean,0
6.498,31.630,31.963,1400,1512,982,ocean,0
6.717,31.804,31.753,1400,1512,982,ocean,0
6.935,31.923,31.413,1400,1512,982,ocean,0
7.152,32.150,32.021,1400,1512,982,ocean,0
7.367,32.363,33.130,1400,1512,982,ocean,0
7.584,32.336,32.735,1400,1512,982,ocean,0
7.804,32.055,30.721,1400,1512,982,ocean,0
8.023,32.007,31.718,1400,1512,982,ocean,0
8.243,31.841,31.059,1400,1512,982,ocean,0
8.470,31.418,31.590,1400,1512,982,ocean,0
8.696,31.165,29.806,1400,1512,982,ocean,0
8.925,30.877,30.833,1400,1512,982,ocean,0
9.156,30.609,30.890,1400,1512,982,ocean,0
9.384,30.591,30.475,1400,1512,982,ocean,0
9.585,30.270,29.376,1400,1512,982,ocean,0
9.817,30.247,30.529,1400,1512,982,ocean,0
10.048,30.258,29.992,1400,1512,982,ocean,0
10.279,30.290,30.160,1400,1512,982,ocean,0
10.506,30.553,31.097,1400,1512,982,ocean,0
10.733,30.708,31.399,1400,1512,982,ocean,0
10.959,30.902,31.747,1400,1512,982,ocean,0
11.184,30.974,30.156,1400,1512,982,ocean,0
11.384,30.492,29.703,1400,1512,982,ocean,0
11.587,30.152,30.834,1400,1512,982,ocean,0
