time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.116,3.116,1400,1512,982,neon,0
0.217,9.722,26.981,1400,1512,982,neon,0
0.421,15.697,19.254,1400,1512,982,neon,0
0.657,20.365,27.044,1400,1512,982,neon,0
0.871,24.014,29.209,1400,1512,982,neon,0
1.100,27.523,31.189,1400,1512,982,neon,0
1.321,29.751,32.073,1400,1512,982,neon,0
1.544,30.608,31.249,1400,1512,982,neon,0
1.772,30.604,30.129,1400,1512,982,neon,0
1.977,29.972,29.675,1400,1512,982,neon,0
2.206,30.244,30.270,1400,1512,982,neon,0
2.431,30.725,31.703,1400,1512,982,neon,0
2.656,30.956,30.788,1400,1512,982,neon,0
2.866,29.875,29.135,1400,1512,982,neon,0
3.069,29.756,29.181,1400,1512,982,neon,0
3.273,29.615,29.862,1400,1512,982,neon,0
3.475,29.608,27.133,1400,1512,982,neon,0
3.678,29.617,29.170,1400,1512,982,neon,0
3.880,29.600,28.642,1400,1512,982,neon,0
4.091,29.076,28.932,1400,1512,982,neon,0
4.297,29.122,28.736,1400,1512,982,neon,0
4.503,29.076,28.527,1400,1512,982,neon,0
4.709,29.206,29.989,1400,1512,982,neon,0
4.909,29.561,29.619,1400,1512,982,neon,0
5.113,29.501,29.688,1400,1512,982,neon,0
5.315,29.577,30.106,1400,1512,982,neon,0
5.517,29.680,30.107,1400,1512,982,neon,0
5.718,29.725,30.238,1400,1512,982,neon,0
5.918,29.859,29.475,1400,1512,982,neon,0
6.147,30.240,31.320,1400,1512,982,neon,0
6.375,30.577,31.035,1400,1512,982,neon,0
6.601,30.760,31.248,1400,1512,982,neon,0
6.826,30.932,30.971,1400,1512,982,neon,0
7.055,30.797,31.193,1400,1512,982,neon,0
7.275,31.375,32.583,1400,1512,982,neon,0
7.493,31.851,33.165,1400,1512,982,neon,0
7.711,31.951,31.476,1400,1512,982,neon,0
7.940,31.259,30.459,1400,1512,982,neon,0
8.166,31.102,31.014,1400,1512,982,neon,0
8.395,30.790,30.418,1400,1512,982,neon,0
8.595,30.390,29.881,1400,1512,982,neon,0
8.825,30.429,30.339,1400,1512,982,neon,0
9.055,30.416,30.497,1400,1512,982,neon,0
9.258,29.948,29.162,1400,1512,982,neon,0
9.463,29.682,29.102,1400,1512,982,neon,0
9.664,29.765,29.584,1400,1512,982,neon,0
9.887,28.698,29.033,1400,1512,982,neon,0
10.095,28.823,30.047,1400,1512,982,neon,0
10.297,29.210,29.627,1400,1512,982,neon,0
10.530,29.614,29.418,1400,1512,982,neon,0
10.731,29.766,29.876,1400,1512,982,neon,0
10.962,29.966,29.452,1400,1512,982,neon,0
11.195,30.006,29.779,1400,1512,982,neon,0
11.428,30.014,29.756,1400,1512,982,neon,0
11.628,29.991,29.840,1400,1512,982,neon,0
11.858,30.229,30.274,1400,1512,982,neon,0
12.058,30.098,30.258,1400,1512,982,neon,0
12.290,30.139,30.668,1400,1512,982,neon,0
12.491,30.007,30.238,1400,1512,982,neon,0
12.724,30.026,29.559,1400,1512,982,neon,0
12.936,29.277,28.725,1400,1512,982,neon,0
13.138,29.395,29.091,1400,1512,982,neon,0
13.343,29.372,29.378,1400,1512,982,neon,0
13.548,29.306,29.380,1400,1512,982,neon,0
13.752,29.347,28.976,1400,1512,982,neon,0
13.956,29.325,28.874,1400,1512,982,neon,0
14.162,29.278,28.569,1400,1512,982,neon,0
14.366,29.318,29.639,1400,1512,982,neon,0
14.568,29.492,30.163,1400,1512,982,neon,0
14.768,29.711,30.059,1400,1512,982,neon,0
14.968,29.911,30.866,1400,1512,982,neon,0
15.195,30.433,31.533,1400,1512,982,neon,0
15.419,30.827,30.918,1400,1512,982,neon,0
15.649,30.646,30.515,1400,1512,982,neon,0
15.874,30.900,30.867,1400,1512,982,neon,0
16.103,30.820,32.230,1400,1512,982,neon,0
16.328,30.923,30.027,1400,1512,982,neon,0
16.553,31.054,31.534,1400,1512,982,neon,0
16.780,30.935,30.699,1400,1512,982,neon,0
17.010,30.687,30.928,1400,1512,982,neon,0
17.211,30.320,30.152,1400,1512,982,neon,0
17.442,30.262,29.925,1400,1512,982,neon,0
17.672,30.370,30.806,1400,1512,982,neon,0
17.873,30.109,29.333,1400,1512,982,neon,0
18.076,29.871,30.000,1400,1512,982,neon,0
18.277,29.838,29.758,1400,1512,982,neon,0
18.478,29.841,29.844,1400,1512,982,neon,0
18.678,29.882,29.636,1400,1512,982,neon,0
18.878,29.936,29.942,1400,1512,982,neon,0
19.108,30.204,30.184,1400,1512,982,neon,0
19.338,30.359,30.432,1400,1512,982,neon,0
19.563,30.753,30.780,1400,1512,982,neon,0
19.786,31.015,31.250,1400,1512,982,neon,0
20.012,30.995,30.808,1400,1512,982,neon,0
20.237,31.087,31.611,1400,1512,982,neon,0
20.465,30.855,30.229,1400,1512,982,neon,0
20.697,30.494,30.159,1400,1512,982,neon,0
20.923,30.705,29.912,1400,1512,982,neon,0
21.149,30.854,31.105,1400,1512,982,neon,0
21.348,30.518,30.618,1400,1512,982,neon,0
21.579,30.481,31.210,1400,1512,982,neon,0
21.809,30.504,30.976,1400,1512,982,neon,0
22.039,30.409,30.275,1400,1512,982,neon,0
22.272,30.249,29.345,1400,1512,982,neon,0
22.504,30.213,30.221,1400,1512,982,neon,0
22.734,30.311,29.869,1400,1512,982,neon,0
22.947,29.311,28.963,1400,1512,982,neon,0
23.158,28.974,29.620,1400,1512,982,neon,0
23.368,28.822,29.394,1400,1512,982,neon,0
23.574,28.992,29.694,1400,1512,982,neon,0
23.778,29.167,29.252,1400,1512,982,neon,0
23.984,29.172,28.923,1400,1512,982,neon,0
24.188,29.258,29.360,1400,1512,982,neon,0
24.395,29.161,29.489,1400,1512,982,neon,0
24.601,29.157,29.195,1400,1512,982,neon,0
24.805,29.307,29.756,1400,1512,982,neon,0
25.007,29.468,29.246,1400,1512,982,neon,0
25.218,29.120,29.444,1400,1512,982,neon,0
25.421,29.324,29.412,1400,1512,982,neon,0
25.621,29.622,29.884,1400,1512,982,neon,0
25.852,29.932,29.714,1400,1512,982,neon,0
26.083,30.210,30.771,1400,1512,982,neon,0
26.311,30.466,31.124,1400,1512,982,neon,0
26.537,30.771,31.355,1400,1512,982,neon,0
26.764,30.780,30.770,1400,1512,982,neon,0
26.991,30.825,30.504,1400,1512,982,neon,0
27.218,30.816,30.520,1400,1512,982,neon,0
27.444,30.844,31.074,1400,1512,982,neon,0
27.672,30.827,30.835,1400,1512,982,neon,0
27.900,30.718,30.947,1400,1512,982,neon,0
28.131,30.449,29.675,1400,1512,982,neon,0
28.362,30.413,29.988,1400,1512,982,neon,0
28.592,30.421,30.811,1400,1512,982,neon,0
28.824,30.341,30.760,1400,1512,982,neon,0
29.023,30.219,30.391,1400,1512,982,neon,0
29.226,29.846,28.502,1400,1512,982,neon,0
29.434,29.439,29.517,1400,1512,982,neon,0
29.636,29.586,30.089,1400,1512,982,neon,0
