time_s,smoothed_fps,fps_inst,n,width,height,palette,vsync
0.050,3.146,3.146,1400,1512,982,ocean,0
0.220,9.598,26.972,1400,1512,982,ocean,0
0.425,15.363,17.309,1400,1512,982,ocean,0
0.628,19.286,26.262,1400,1512,982,ocean,0
0.849,23.073,28.399,1400,1512,982,ocean,0
1.080,26.930,31.429,1400,1512,982,ocean,0
1.303,29.231,31.236,1400,1512,982,ocean,0
1.524,30.496,31.844,1400,1512,982,ocean,0
1.757,30.211,29.248,1400,1512,982,ocean,0
1.959,30.024,30.631,1400,1512,982,ocean,0
2.186,30.416,31.790,1400,1512,982,ocean,0
2.413,30.644,30.944,1400,1512,982,ocean,0
2.640,30.810,31.351,1400,1512,982,ocean,0
2.844,30.088,27.953,1400,1512,982,ocean,0
3.048,29.805,29.278,1400,1512,982,ocean,0
3.251,29.743,30.349,1400,1512,982,ocean,0
3.453,29.737,29.834,1400,1512,982,ocean,0
3.654,29.794,29.749,1400,1512,982,ocean,0
3.856,29.688,29.412,1400,1512,982,ocean,0
4.062,29.371,28.718,1400,1512,982,ocean,0
4.270,29.180,29.286,1400,1512,982,ocean,0
4.478,29.066,29.484,1400,1512,982,ocean,0
4.684,29.112,29.235,1400,1512,982,ocean,0
4.888,29.208,28.851,1400,1512,982,ocean,0
5.090,29.449,30.201,1400,1512,982,ocean,0
5.291,29.639,30.087,1400,1512,982,ocean,0
5.494,29.614,29.898,1400,1512,982,ocean,0
5.696,29.676,30.017,1400,1512,982,ocean,0
5.897,29.752,29.714,1400,1512,982,ocean,0
6.096,29.909,30.656,1400,1512,982,ocean,0
6.321,30.573,31.744,1400,1512,982,ocean,0
6.545,30.935,31.633,1400,1512,982,ocean,0
6.769,31.112,30.927,1400,1512,982,ocean,0
6.992,31.247,32.247,1400,1512,982,ocean,0
7.219,31.068,31.110,1400,1512,982,ocean,0
7.442,31.224,32.226,1400,1512,982,ocean,0
7.663,31.486,32.248,1400,1512,982,ocean,0
7.889,31.219,30.415,1400,1512,982,ocean,0
8.114,31.146,30.127,1400,1512,982,ocean,0
8.341,30.948,29.870,1400,1512,982,ocean,0
8.568,30.874,30.844,1400,1512,982,ocean,0
8.769,30.385,28.988,1400,1512,982,ocean,0
8.970,30.109,30.009,1400,1512,982,ocean,0
9.171,30.004,29.466,1400,1512,982,ocean,0
9.372,29.927,29.863,1400,1512,982,ocean,0
9.572,29.934,30.049,1400,1512,982,ocean,0
9.776,29.655,28.248,1400,1512,982,ocean,0
9.985,29.260,28.879,1400,1512,982,ocean,0
10.191,29.231,29.496,1400,1512,982,ocean,0
10.394,29.345,29.388,1400,1512,982,ocean,0
10.596,29.545,30.300,1400,1512,982,ocean,0
10.829,29.789,29.954,1400,1512,982,ocean,0
11.062,29.896,29.612,1400,1512,982,ocean,0
11.293,30.104,31.088,1400,1512,982,ocean,0
11.519,30.638,31.546,1400,1512,982,ocean,0
11.742,31.022,31.866,1400,1512,982,ocean,0
11.969,30.954,31.086,1400,1512,982,ocean,0
12.193,31.122,31.873,1400,1512,982,ocean,0
12.419,31.092,31.502,1400,1512,982,ocean,0
12.647,30.843,29.396,1400,1512,982,ocean,0
12.877,30.668,30.272,1400,1512,982,ocean,0
13.106,30.638,30.274,1400,1512,982,ocean,0
13.307,30.203,29.383,1400,1512,982,ocean,0
13.511,29.850,30.109,1400,1512,982,ocean,0
13.741,30.214,30.897,1400,1512,982,ocean,0
13.971,30.331,30.728,1400,1512,982,ocean,0
14.198,30.557,30.346,1400,1512,982,ocean,0
14.425,30.741,30.853,1400,1512,982,ocean,0
14.625,30.384,30.127,1400,1512,982,ocean,0
14.851,30.668,30.640,1400,1512,982,ocean,0
15.077,30.890,31.110,1400,1512,982,ocean,0
15.303,30.917,31.670,1400,1512,982,ocean,0
15.526,31.196,32.036,1400,1512,982,ocean,0
15.749,31.310,31.482,1400,1512,982,ocean,0
15.972,31.317,30.896,1400,1512,982,ocean,0
16.198,31.154,30.520,1400,1512,982,ocean,0
16.422,31.184,31.370,1400,1512,982,ocean,0
16.646,31.178,31.050,1400,1512,982,ocean,0
